 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,279,255,0,255,255,255,991.439,51.435,991.439,51.435,63.355,982,41,18,20,20.200,17.585,113.044,0.873,21.633,71145,255,NaN,NaN,100,71145,986,43,123.690,18.000,1.149,0.871,0.932
2,841,255,0,255,255,255,2508.448,87.833,2508.448,87.833,119.196,2493,69,32,37,37.342,28.676,62.886,0.744,38.079,214455,255,NaN,NaN,100,214455,2500,105,66.801,29.974,1.302,0.768,0.920
3,211,255,0,255,255,255,547.145,116.647,547.145,116.647,61.841,539,107,16,19,18.727,14.346,81.913,0.693,20.000,53805,255,NaN,NaN,100,53805,541,124,53.130,15.440,1.305,0.766,0.854
4,40,255,0,255,255,255,280.650,165.450,280.650,165.450,26.385,276,162,10,6,9.318,5.466,162.571,0.722,10.296,10200,255,NaN,NaN,100,10200,277,162,150.945,6.000,1.705,0.587,0.842
5,21,255,0,255,255,255,1088.690,217.310,1088.690,217.310,20.728,1084,215,8,5,6.250,4.278,164.855,0.614,8.544,5355,255,NaN,NaN,100,5355,1084,216,159.444,5.000,1.461,0.684,0.712
6,636,255,0,255,255,255,701.322,246.431,701.322,246.431,102.326,688,231,27,31,32.455,24.951,120.484,0.763,34.713,162180,255,NaN,NaN,100,162180,689,234,138.504,26.276,1.301,0.769,0.931
7,182,255,0,255,255,255,2181.808,256.434,2181.808,256.434,58.770,2173,248,19,15,18.182,12.745,170.496,0.662,19.698,46410,255,NaN,NaN,100,46410,2174,252,156.038,14.728,1.427,0.701,0.835
8,692,255,0,255,255,255,382.944,269.504,382.944,269.504,118.368,366,255,32,31,30.006,29.363,133.819,0.621,35.355,176460,255,NaN,NaN,100,176460,367,275,28.740,31.000,1.022,0.979,0.884
9,287,255,0,255,255,255,518.862,354.256,518.862,354.256,75.255,508,344,20,21,19.932,18.334,38.720,0.637,22.136,73185,255,NaN,NaN,100,73185,516,365,71.565,20.000,1.087,0.920,0.849
10,543,255,0,255,255,255,858.189,377.997,858.189,377.997,86.326,845,364,27,27,26.753,25.843,138.522,0.916,28.302,138465,255,NaN,NaN,100,138465,848,368,147.995,26.163,1.035,0.966,0.945
11,656,255,0,255,255,255,1200.419,411.732,1200.419,411.732,103.054,1186,395,28,33,32.597,25.623,78.256,0.776,33.734,167280,255,NaN,NaN,100,167280,1197,428,78.024,26.598,1.272,0.786,0.917
12,591,255,0,255,255,255,1676.079,438.662,1676.079,438.662,110.711,1662,425,28,29,27.999,26.875,132.971,0.606,31.401,150705,255,NaN,NaN,100,150705,1664,449,37.235,28.000,1.042,0.960,0.876
13,508,255,0,255,255,255,787.331,491.136,787.331,491.136,87.397,774,477,26,28,25.666,25.201,73.869,0.836,28.160,129540,255,NaN,NaN,100,129540,784,505,83.884,25.945,1.018,0.982,0.914
14,501,255,0,255,255,255,1483.013,490.863,1483.013,490.863,90.468,1470,478,29,28,27.597,23.114,32.328,0.769,29.833,127755,255,NaN,NaN,100,127755,1470,494,13.570,25.339,1.194,0.838,0.899
15,685,255,0,255,255,255,1001.134,569.469,1001.134,569.469,111.397,986,554,31,30,30.083,28.992,78.602,0.694,33.838,174675,255,NaN,NaN,100,174675,989,560,145.840,30.000,1.038,0.964,0.898
16,599,255,0,255,255,255,1462.600,581.674,1462.600,581.674,97.983,1449,567,26,32,32.906,23.178,110.993,0.784,34.540,152745,255,NaN,NaN,100,152745,1455,567,112.109,24.015,1.420,0.704,0.930
17,762,255,0,255,255,255,2003.882,597.789,2003.882,597.789,123.439,1987,582,34,33,33.967,28.564,134.461,0.628,38.210,194310,255,NaN,NaN,100,194310,1991,584,132.879,31.310,1.189,0.841,0.874
18,23,255,0,255,255,255,1133.457,601.196,1133.457,601.196,20.485,1132,597,3,9,9.074,3.227,83.975,0.689,9.487,5865,255,NaN,NaN,100,5865,1132,606,71.565,3.000,2.812,0.356,0.939
19,597,255,0,255,255,255,2452.383,635.399,2452.383,635.399,93.154,2439,620,27,30,30.357,25.039,117.447,0.865,31.623,152235,255,NaN,NaN,100,152235,2448,620,108.435,26.471,1.212,0.825,0.932
20,34,255,0,255,255,255,351.088,628.000,351.088,628.000,29.213,347,623,8,10,10.558,4.100,132.587,0.501,12.207,8670,255,NaN,NaN,100,8670,348,623,124.992,5.657,2.575,0.388,0.701
21,527,255,0,255,255,255,112.489,712.709,112.489,712.709,94.326,98,702,30,22,29.944,22.409,8.797,0.744,31.064,134385,255,NaN,NaN,100,134385,101,723,33.179,22.000,1.336,0.748,0.923
22,20,255,0,255,255,255,1938.550,725.600,1938.550,725.600,21.899,1935,724,9,3,8.309,3.065,173.739,0.524,9.487,5100,255,NaN,NaN,100,5100,1935,724,161.565,3.000,2.711,0.369,0.833
23,20,255,0,255,255,255,1993.700,727.450,1993.700,727.450,17.899,1990,726,8,3,8.015,3.177,8.011,0.784,8.544,5100,255,NaN,NaN,100,5100,1990,729,20.556,3.000,2.523,0.396,0.930
24,27,255,0,255,255,255,908.537,730.685,908.537,730.685,22.142,905,728,7,6,7.099,4.843,16.147,0.692,8.062,6885,255,NaN,NaN,100,6885,905,733,29.745,6.000,1.466,0.682,0.771
25,28,255,0,255,255,255,908.929,746.714,908.929,746.714,23.556,904,744,9,6,7.681,4.642,156.420,0.634,9.487,7140,255,NaN,NaN,100,7140,904,746,161.565,5.822,1.655,0.604,0.691
26,270,255,0,255,255,255,1009.193,796.433,1009.193,796.433,72.326,998,786,22,21,20.781,16.543,148.248,0.649,22.561,68850,255,NaN,NaN,100,68850,998,794,167.196,18.550,1.256,0.796,0.826
27,804,255,0,255,255,255,1963.856,820.969,1963.856,820.969,111.296,1947,804,33,33,33.454,30.599,53.356,0.816,35.609,205020,255,NaN,NaN,100,205020,1951,833,51.843,31.944,1.093,0.915,0.932
28,31,255,0,255,255,255,912.435,859.371,912.435,859.371,26.142,910,854,5,11,10.971,3.598,112.125,0.570,12.083,7905,255,NaN,NaN,100,7905,910,854,114.444,4.652,3.050,0.328,0.816
29,26,255,0,255,255,255,1526.500,887.385,1526.500,887.385,20.385,1523,884,7,7,7.823,4.232,128.105,0.786,8.602,6630,255,NaN,NaN,100,6630,1523,884,125.538,5.273,1.849,0.541,0.776
30,622,255,0,255,255,255,606.400,928.365,606.400,928.365,100.569,595,911,24,35,34.797,22.759,82.744,0.773,35.903,158610,255,NaN,NaN,100,158610,604,946,77.125,23.645,1.529,0.654,0.920
31,635,255,0,255,255,255,1422.777,929.771,1422.777,929.771,116.853,1406,916,34,29,32.895,24.578,144.403,0.584,36.401,161925,255,NaN,NaN,100,161925,1406,920,159.075,27.165,1.338,0.747,0.872
32,26,255,0,255,255,255,2140.385,921.731,2140.385,921.731,22.385,2136,919,8,5,7.999,4.139,17.383,0.652,8.944,6630,255,NaN,NaN,100,6630,2136,924,26.565,5.000,1.933,0.517,0.788
33,691,255,0,255,255,255,1135.189,975.836,1135.189,975.836,106.468,1120,961,31,31,30.625,28.729,146.418,0.766,34.670,176205,255,NaN,NaN,100,176205,1121,966,146.768,29.643,1.066,0.938,0.909
34,26,255,0,255,255,255,801.731,1007.923,801.731,1007.923,25.556,796,1005,11,5,9.301,3.559,172.549,0.500,11.045,6630,255,NaN,NaN,100,6630,796,1008,174.806,4.673,2.613,0.383,0.722
35,23,255,0,255,255,255,587.152,1018.717,587.152,1018.717,22.142,583,1016,9,5,8.680,3.374,149.125,0.590,10.296,5865,255,NaN,NaN,100,5865,583,1016,150.945,4.721,2.573,0.389,0.742
36,686,255,0,255,255,255,1414.735,1055.532,1414.735,1055.532,122.024,1400,1038,31,34,32.880,26.564,59.847,0.579,35.735,174930,255,NaN,NaN,100,174930,1406,1072,72.072,29.071,1.238,0.808,0.868
37,738,255,0,255,255,255,573.134,1067.122,573.134,1067.122,111.054,558,1051,34,32,34.278,27.413,150.009,0.752,36.359,188190,255,NaN,NaN,100,188190,559,1056,148.496,29.050,1.250,0.800,0.903
38,29,255,0,255,255,255,1442.121,1170.914,1442.121,1170.914,26.142,1436,1168,11,5,10.541,3.503,21.624,0.533,12.083,7395,255,NaN,NaN,100,7395,1436,1173,24.444,4.652,3.009,0.332,0.795
39,33,255,0,255,255,255,1374.439,1172.561,1374.439,1172.561,28.385,1369,1170,12,5,11.441,3.672,162.259,0.515,13.000,8415,255,NaN,NaN,100,8415,1369,1170,157.380,4.745,3.115,0.321,0.767
40,753,255,0,255,255,255,1234.485,1202.508,1234.485,1202.508,114.125,1217,1186,34,32,33.814,28.354,140.575,0.727,36.620,192015,255,NaN,NaN,100,192015,1217,1194,145.008,29.786,1.193,0.839,0.916
41,448,255,0,255,255,255,2083.208,1206.906,2083.208,1206.906,85.983,2071,1194,25,26,24.498,23.284,120.162,0.761,27.514,114240,255,NaN,NaN,100,114240,2078,1194,109.093,24.042,1.052,0.950,0.901
42,528,255,0,255,255,255,268.364,1254.468,268.364,1254.468,90.569,254,1241,28,26,26.995,24.904,154.937,0.809,29.155,134640,255,NaN,NaN,100,134640,255,1250,157.834,25.593,1.084,0.923,0.912
43,24,255,0,255,255,255,1506.083,1247.458,1506.083,1247.458,21.556,1504,1244,5,8,8.260,3.699,63.946,0.649,9.434,6120,255,NaN,NaN,100,6120,1504,1252,57.995,4.721,2.233,0.448,0.828
44,513,255,0,255,255,255,2174.757,1275.332,2174.757,1275.332,87.740,2162,1262,26,27,25.833,25.284,142.213,0.837,28.653,130815,255,NaN,NaN,100,130815,2169,1262,119.249,25.877,1.022,0.979,0.919
45,733,255,0,255,255,255,1025.860,1313.559,1025.860,1313.559,114.468,1010,1296,32,33,31.728,29.415,37.964,0.703,33.734,186915,255,NaN,NaN,100,186915,1020,1329,78.024,31.531,1.079,0.927,0.905
46,21,255,0,255,255,255,1485.024,1301.595,1485.024,1301.595,17.899,1482,1298,5,6,6.622,4.038,57.995,0.824,7.810,5355,255,NaN,NaN,100,5355,1482,1304,50.194,5.000,1.640,0.610,0.875
47,33,255,0,255,255,255,1088.348,1338.197,1088.348,1338.197,28.142,1086,1332,5,12,11.950,3.516,76.404,0.524,12.369,8415,255,NaN,NaN,100,8415,1086,1344,75.964,4.275,3.399,0.294,0.767
48,31,255,0,255,255,255,1948.145,1376.694,1948.145,1376.694,24.971,1944,1373,8,8,8.529,4.628,148.516,0.625,10.000,7905,255,NaN,NaN,100,7905,1946,1373,126.870,5.782,1.843,0.543,0.713
49,22,255,0,255,255,255,1701.727,1375.545,1701.727,1375.545,21.899,1697,1374,10,3,9.252,3.028,170.325,0.576,10.440,5610,255,NaN,NaN,100,5610,1697,1374,163.301,3.000,3.056,0.327,0.880
50,522,255,0,255,255,255,1163.466,1389.736,1163.466,1389.736,99.882,1151,1376,26,29,28.332,23.459,118.725,0.658,31.401,133110,255,NaN,NaN,100,133110,1156,1376,127.235,25.784,1.208,0.828,0.877
51,34,255,0,255,255,255,1061.647,1393.324,1061.647,1393.324,27.799,1057,1388,8,9,10.506,4.121,54.134,0.553,12.042,8670,255,NaN,NaN,100,8670,1057,1397,48.366,5.781,2.550,0.392,0.756
52,29,255,0,255,255,255,2496.879,1434.328,2496.879,1434.328,23.556,2492,1432,10,5,8.683,4.253,158.353,0.657,10.440,7395,255,NaN,NaN,100,7395,2492,1432,163.301,5.000,2.042,0.490,0.806
53,801,255,0,255,255,255,389.445,1455.893,389.445,1455.893,111.882,374,1440,33,32,34.904,29.219,144.370,0.804,37.216,204255,255,NaN,NaN,100,204255,377,1440,120.700,30.418,1.195,0.837,0.930
54,840,255,0,255,255,255,702.083,1458.248,702.083,1458.248,127.439,683,1442,36,32,33.510,31.917,5.016,0.650,36.797,214200,255,NaN,NaN,100,214200,688,1471,42.797,32.000,1.050,0.952,0.896
55,630,255,0,255,255,255,1534.557,1463.744,1534.557,1463.744,96.225,1519,1449,30,29,29.216,27.455,31.389,0.855,31.385,160650,255,NaN,NaN,100,160650,1519,1468,22.479,28.128,1.064,0.940,0.931
56,27,255,0,255,255,255,863.574,1469.167,863.574,1469.167,21.556,859,1466,8,6,6.746,5.096,164.372,0.730,8.544,6885,255,NaN,NaN,100,6885,859,1468,159.444,6.000,1.324,0.755,0.761
57,47,255,0,255,255,255,866.606,1476.926,866.606,1476.926,32.042,860,1473,11,8,10.178,5.880,13.364,0.575,12.083,11985,255,NaN,NaN,100,11985,860,1478,24.444,7.364,1.731,0.578,0.740
58,26,255,0,255,255,255,2074.962,1482.538,2074.962,1482.538,24.971,2071,1480,9,7,8.671,3.818,35.229,0.524,10.630,6630,255,NaN,NaN,100,6630,2072,1487,41.186,5.158,2.271,0.440,0.684
59,21,255,0,255,255,255,475.738,1486.214,475.738,1486.214,19.556,473,1483,6,7,6.822,3.920,44.147,0.690,8.062,5355,255,NaN,NaN,100,5355,473,1490,60.255,5.147,1.740,0.575,0.724
60,32,255,0,255,255,255,1805.031,1531.094,1805.031,1531.094,26.142,1799,1528,10,6,10.151,4.014,19.683,0.588,11.180,8160,255,NaN,NaN,100,8160,1799,1533,26.565,5.241,2.529,0.395,0.771
61,647,255,0,255,255,255,518.532,1550.236,518.532,1550.236,96.326,502,1537,33,26,32.818,25.101,164.832,0.876,33.377,164985,255,NaN,NaN,100,164985,502,1553,8.616,25.623,1.307,0.765,0.945
62,28,255,0,255,255,255,1490.500,1556.893,1490.500,1556.893,24.971,1485,1554,9,7,10.080,3.537,144.949,0.564,11.402,7140,255,NaN,NaN,100,7140,1485,1554,142.125,5.130,2.850,0.351,0.727
63,85,255,0,255,255,255,2237.971,1621.876,2237.971,1621.876,39.698,2232,1616,11,12,11.118,9.735,44.089,0.678,12.369,21675,255,NaN,NaN,100,21675,2237,1628,75.964,11.000,1.142,0.876,0.813
64,20,255,0,255,255,255,43.100,1623.300,43.100,1623.300,20.728,39,1621,9,4,8.565,2.973,161.797,0.585,9.487,5100,255,NaN,NaN,100,5100,39,1622,161.565,3.797,2.881,0.347,0.784
65,387,255,0,255,255,255,2409.616,1662.169,2409.616,1662.169,72.426,2398,1651,23,22,23.690,20.799,145.977,0.927,24.698,98685,255,NaN,NaN,100,98685,2398,1658,158.629,21.914,1.139,0.878,0.940
66,517,255,0,255,255,255,163.831,1680.887,163.831,1680.887,92.225,148,1668,30,26,27.632,23.822,162.693,0.764,30.265,131835,255,NaN,NaN,100,131835,148,1680,172.405,25.616,1.160,0.862,0.894
67,639,255,0,255,255,255,2550.373,1689.290,2550.373,1689.290,102.811,2534,1675,30,30,29.666,27.425,141.597,0.760,31.953,162945,255,NaN,NaN,100,162945,2534,1686,159.864,28.625,1.082,0.924,0.917
68,336,255,0,255,255,255,1032.149,1690.048,1032.149,1690.048,74.083,1022,1678,21,24,22.456,19.051,104.805,0.769,24.187,85680,255,NaN,NaN,100,85680,1032,1678,97.125,20.469,1.179,0.848,0.876
69,776,255,0,255,255,255,446.079,1721.210,446.079,1721.210,136.510,430,1703,31,36,34.125,28.954,97.018,0.523,37.336,197880,255,NaN,NaN,100,197880,442,1704,110.376,30.239,1.179,0.848,0.881
70,740,255,0,255,255,255,1481.393,1762.573,1481.393,1762.573,105.983,1465,1747,32,32,37.397,25.194,132.365,0.828,38.949,188700,255,NaN,NaN,100,188700,1469,1749,131.878,26.819,1.484,0.674,0.944
71,20,255,0,255,255,255,1356.650,1780.950,1356.650,1780.950,22.142,1354,1777,5,9,9.495,2.682,119.275,0.513,10.296,5100,255,NaN,NaN,100,5100,1354,1777,119.055,3.617,3.540,0.282,0.727
72,384,255,0,255,255,255,737.240,1844.471,737.240,1844.471,87.740,726,1832,21,27,25.557,19.131,105.520,0.627,27.893,97920,255,NaN,NaN,100,97920,732,1832,104.534,21.000,1.336,0.749,0.863
73,511,255,0,255,255,255,1987.527,1848.651,1987.527,1848.651,93.397,1973,1835,29,26,26.677,24.389,1.632,0.736,30.017,130305,255,NaN,NaN,100,130305,1973,1855,29.982,25.886,1.094,0.914,0.889
74,21,255,0,255,255,255,1877.214,1887.929,1877.214,1887.929,18.142,1874,1885,6,6,8.023,3.333,132.393,0.802,8.485,5355,255,NaN,NaN,100,5355,1874,1885,135.000,4.201,2.407,0.415,0.824
75,343,255,0,255,255,255,2213.917,1936.631,2213.917,1936.631,83.012,2201,1926,27,18,24.597,17.755,174.233,0.625,27.295,87465,255,NaN,NaN,100,87465,2203,1931,151.557,18.000,1.385,0.722,0.886
76,225,255,0,255,255,255,1034.149,1936.562,1034.149,1936.562,59.941,1025,1928,19,16,17.848,16.051,179.811,0.787,20.248,57375,255,NaN,NaN,100,57375,1025,1932,159.775,16.000,1.112,0.899,0.882
77,22,255,0,255,255,255,1912.045,1935.318,1912.045,1935.318,22.971,1909,1931,6,9,8.692,3.223,114.508,0.524,9.487,5610,255,NaN,NaN,100,5610,1910,1931,108.435,4.346,2.697,0.371,0.698
